,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Predicted_Item_Outlet_Sales
0,FDW58,20.75,Low Fat,0.007564836,Snack Foods,107.8622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1786.732902725218
1,FDW14,8.3,reg,0.038427677,Dairy,87.3198,OUT017,2007,Medium,Tier 2,Supermarket Type1,1522.5475301657452
2,NCN55,14.6,Low Fat,0.099574908,Others,241.7538,OUT010,1998,Medium,Tier 3,Grocery Store,1909.9739236646355
3,FDQ58,7.315,Low Fat,0.015388393,Snack Foods,155.034,OUT017,2007,Medium,Tier 2,Supermarket Type1,2521.2461906423478
4,FDY38,12.695633368756642,Regular,0.118599314,Dairy,234.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,5175.379245880877
5,FDH56,9.8,Regular,0.063817206,Fruits and Vegetables,117.1492,OUT046,1997,Small,Tier 1,Supermarket Type1,1960.9131968118459
6,FDL48,19.35,Regular,0.082601537,Baking Goods,50.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,584.6397652254846
7,FDC48,12.695633368756642,Low Fat,0.015782495,Baking Goods,81.0592,OUT027,1985,Medium,Tier 3,Supermarket Type3,2780.4784494944756
8,FDN33,6.305,Regular,0.123365446,Snack Foods,95.7436,OUT045,2002,Medium,Tier 2,Supermarket Type1,1572.1377716284792
9,FDA36,5.985,Low Fat,0.005698435,Baking Goods,186.8924,OUT017,2007,Medium,Tier 2,Supermarket Type1,3007.051254495273
10,FDT44,16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466,OUT017,2007,Medium,Tier 2,Supermarket Type1,1923.982823452217
11,FDQ56,6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908,OUT045,2002,Medium,Tier 2,Supermarket Type1,1387.1377652850365
12,NCC54,12.695633368756642,Low Fat,0.171079215,Health and Hygiene,240.4196,OUT019,1985,Small,Tier 1,Grocery Store,1867.4831808790032
13,FDU11,4.785,Low Fat,0.092737611,Breads,122.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,1920.0674205941982
14,DRL59,16.75,LF,0.021206464,Hard Drinks,52.0298,OUT013,1987,High,Tier 3,Supermarket Type1,821.3400503040548
15,FDM24,6.135,Regular,0.0794507,Baking Goods,151.6366,OUT049,1999,Medium,Tier 1,Supermarket Type1,2431.6451078904156
